"metric" "n_bands" "simulation" "p" "method" "value"
"eTPR" "10" "3" "50" "LASSO" 1
"eTNR" "10" "3" "50" "LASSO" 1
"ePPV" "10" "3" "50" "LASSO" 1
"d" "10" "3" "50" "LASSO" 0.363265306122449
"iters" "10" "3" "50" "LASSO" 12
"time.user.self" "10" "3" "50" "LASSO" 0.190000000000055
"time.sys.self" "10" "3" "50" "LASSO" 0
"time.elapsed" "10" "3" "50" "LASSO" 0.179999999999836
"time.user.child" "10" "3" "50" "LASSO" NA
"time.sys.child" "10" "3" "50" "LASSO" NA
"cv.iters" "10" "3" "50" "LASSO" NA
"cv.time.user.self" "10" "3" "50" "LASSO" 0.0720000000000118
"cv.time.sys.self" "10" "3" "50" "LASSO" 0.000400000000000063
"cv.time.elapsed" "10" "3" "50" "LASSO" 0.0726999999999907
"cv.time.user.child" "10" "3" "50" "LASSO" NA
"cv.time.sys.child" "10" "3" "50" "LASSO" NA
"cv.all.time.user.self" "10" "3" "50" "LASSO" 7.20000000000118
"cv.all.time.sys.self" "10" "3" "50" "LASSO" 0.0400000000000063
"cv.all.time.elapsed" "10" "3" "50" "LASSO" 7.26999999999907
"cv.all.time.user.child" "10" "3" "50" "LASSO" NA
"cv.all.time.sys.child" "10" "3" "50" "LASSO" NA
"n.cv.par" "10" "3" "50" "LASSO" 20
"lambda" "10" "4" "50" "LASSO" 0.00229592231793956
"lambdar0" "10" "4" "50" "LASSO" 0.1
"kappa" "10" "4" "50" "LASSO" 0
"condnum" "10" "4" "50" "LASSO" 42.8378618360142
"EL" "10" "4" "50" "LASSO" 0.377949511983871
"RMSE" "10" "4" "50" "LASSO" 0.00329557625241102
"F1" "10" "4" "50" "LASSO" 1
"eTPR" "10" "4" "50" "LASSO" 1
"eTNR" "10" "4" "50" "LASSO" 1
"ePPV" "10" "4" "50" "LASSO" 1
"d" "10" "4" "50" "LASSO" 0.363265306122449
"iters" "10" "4" "50" "LASSO" 12
"time.user.self" "10" "4" "50" "LASSO" 0.170000000000073
"time.sys.self" "10" "4" "50" "LASSO" 0
"time.elapsed" "10" "4" "50" "LASSO" 0.170000000000073
"time.user.child" "10" "4" "50" "LASSO" NA
"time.sys.child" "10" "4" "50" "LASSO" NA
"cv.iters" "10" "4" "50" "LASSO" NA
"cv.time.user.self" "10" "4" "50" "LASSO" 0.0511000000000104
"cv.time.sys.self" "10" "4" "50" "LASSO" 0
"cv.time.elapsed" "10" "4" "50" "LASSO" 0.0519999999999891
"cv.time.user.child" "10" "4" "50" "LASSO" NA
"cv.time.sys.child" "10" "4" "50" "LASSO" NA
"cv.all.time.user.self" "10" "4" "50" "LASSO" 5.11000000000104
"cv.all.time.sys.self" "10" "4" "50" "LASSO" 0
"cv.all.time.elapsed" "10" "4" "50" "LASSO" 5.19999999999891
"cv.all.time.user.child" "10" "4" "50" "LASSO" NA
"cv.all.time.sys.child" "10" "4" "50" "LASSO" NA
"n.cv.par" "10" "4" "50" "LASSO" 20
"lambda" "10" "5" "50" "LASSO" 0.00225165182618992
"lambdar0" "10" "5" "50" "LASSO" 0.1
"kappa" "10" "5" "50" "LASSO" 0
"condnum" "10" "5" "50" "LASSO" 46.2642051270607
"EL" "10" "5" "50" "LASSO" 0.370618307481969
"RMSE" "10" "5" "50" "LASSO" 0.003098978099167
"F1" "10" "5" "50" "LASSO" 1
"eTPR" "10" "5" "50" "LASSO" 1
"eTNR" "10" "5" "50" "LASSO" 1
"ePPV" "10" "5" "50" "LASSO" 1
"d" "10" "5" "50" "LASSO" 0.363265306122449
"iters" "10" "5" "50" "LASSO" 13
"time.user.self" "10" "5" "50" "LASSO" 0.129999999999654
"time.sys.self" "10" "5" "50" "LASSO" 0
"time.elapsed" "10" "5" "50" "LASSO" 0.130000000000109
"time.user.child" "10" "5" "50" "LASSO" NA
"time.sys.child" "10" "5" "50" "LASSO" NA
"cv.iters" "10" "5" "50" "LASSO" NA
"cv.time.user.self" "10" "5" "50" "LASSO" 0.0428000000000202
"cv.time.sys.self" "10" "5" "50" "LASSO" 0.000200000000000031
"cv.time.elapsed" "10" "5" "50" "LASSO" 0.0414000000000078
"cv.time.user.child" "10" "5" "50" "LASSO" NA
"cv.time.sys.child" "10" "5" "50" "LASSO" NA
"cv.all.time.user.self" "10" "5" "50" "LASSO" 4.28000000000202
"cv.all.time.sys.self" "10" "5" "50" "LASSO" 0.0200000000000031
"cv.all.time.elapsed" "10" "5" "50" "LASSO" 4.14000000000078
"cv.all.time.user.child" "10" "5" "50" "LASSO" NA
"cv.all.time.sys.child" "10" "5" "50" "LASSO" NA
"n.cv.par" "10" "5" "50" "LASSO" 20
"lambda" "10" "6" "50" "LASSO" 0.00218455127092487
"lambdar0" "10" "6" "50" "LASSO" 0.1
"kappa" "10" "6" "50" "LASSO" 0
"condnum" "10" "6" "50" "LASSO" 42.1736311859285
"EL" "10" "6" "50" "LASSO" 0.347280414387392
"RMSE" "10" "6" "50" "LASSO" 0.00304525772773094
"F1" "10" "6" "50" "LASSO" 1
"eTPR" "10" "6" "50" "LASSO" 1
"eTNR" "10" "6" "50" "LASSO" 1
"ePPV" "10" "6" "50" "LASSO" 1
"d" "10" "6" "50" "LASSO" 0.363265306122449
"iters" "10" "6" "50" "LASSO" 12
"time.user.self" "10" "6" "50" "LASSO" 0.110000000000127
"time.sys.self" "10" "6" "50" "LASSO" 0
"time.elapsed" "10" "6" "50" "LASSO" 0.0899999999996908
"time.user.child" "10" "6" "50" "LASSO" NA
"time.sys.child" "10" "6" "50" "LASSO" NA
