"metric" "n_bands" "simulation" "n" "method" "value"
"time.sys.child" "14" "17" "45" "LASSO" 1e-04
"cv.iters" "14" "17" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "17" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "17" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "17" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "17" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "17" "45" "LASSO" 1e-04
"n.cv.par" "14" "17" "45" "LASSO" 1e-04
"lambda" "14" "18" "45" "LASSO" 1e-04
"lambdar0" "14" "18" "45" "LASSO" 1e-04
"kappa" "14" "18" "45" "LASSO" 1e-04
"condnum" "14" "18" "45" "LASSO" 1e-04
"EL" "14" "18" "45" "LASSO" 1e-04
"RMSE" "14" "18" "45" "LASSO" 1e-04
"F1" "14" "18" "45" "LASSO" 1e-04
"eTPR" "14" "18" "45" "LASSO" 1e-04
"eTNR" "14" "18" "45" "LASSO" 1e-04
"ePPV" "14" "18" "45" "LASSO" 1e-04
"d" "14" "18" "45" "LASSO" 1e-04
"iters" "14" "18" "45" "LASSO" 1e-04
"time.user.self" "14" "18" "45" "LASSO" 1e-04
"time.sys.self" "14" "18" "45" "LASSO" 1e-04
"time.elapsed" "14" "18" "45" "LASSO" 1e-04
"time.user.child" "14" "18" "45" "LASSO" 1e-04
"time.sys.child" "14" "18" "45" "LASSO" 1e-04
"cv.iters" "14" "18" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "18" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "18" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "18" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "18" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "18" "45" "LASSO" 1e-04
"n.cv.par" "14" "18" "45" "LASSO" 1e-04
"lambda" "14" "19" "45" "LASSO" 1e-04
"lambdar0" "14" "19" "45" "LASSO" 1e-04
"kappa" "14" "19" "45" "LASSO" 1e-04
"condnum" "14" "19" "45" "LASSO" 1e-04
"EL" "14" "19" "45" "LASSO" 1e-04
"RMSE" "14" "19" "45" "LASSO" 1e-04
"F1" "14" "19" "45" "LASSO" 1e-04
"eTPR" "14" "19" "45" "LASSO" 1e-04
"eTNR" "14" "19" "45" "LASSO" 1e-04
"ePPV" "14" "19" "45" "LASSO" 1e-04
"d" "14" "19" "45" "LASSO" 1e-04
"iters" "14" "19" "45" "LASSO" 1e-04
"time.user.self" "14" "19" "45" "LASSO" 1e-04
"time.sys.self" "14" "19" "45" "LASSO" 1e-04
"time.elapsed" "14" "19" "45" "LASSO" 1e-04
"time.user.child" "14" "19" "45" "LASSO" 1e-04
"time.sys.child" "14" "19" "45" "LASSO" 1e-04
"cv.iters" "14" "19" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "19" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "19" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "19" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "19" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "19" "45" "LASSO" 1e-04
"n.cv.par" "14" "19" "45" "LASSO" 1e-04
"lambda" "14" "20" "45" "LASSO" 1e-04
"lambdar0" "14" "20" "45" "LASSO" 1e-04
"kappa" "14" "20" "45" "LASSO" 1e-04
"condnum" "14" "20" "45" "LASSO" 1e-04
"EL" "14" "20" "45" "LASSO" 1e-04
"RMSE" "14" "20" "45" "LASSO" 1e-04
"F1" "14" "20" "45" "LASSO" 1e-04
"eTPR" "14" "20" "45" "LASSO" 1e-04
"eTNR" "14" "20" "45" "LASSO" 1e-04
"ePPV" "14" "20" "45" "LASSO" 1e-04
"d" "14" "20" "45" "LASSO" 1e-04
"iters" "14" "20" "45" "LASSO" 1e-04
"time.user.self" "14" "20" "45" "LASSO" 1e-04
"time.sys.self" "14" "20" "45" "LASSO" 1e-04
"time.elapsed" "14" "20" "45" "LASSO" 1e-04
"time.user.child" "14" "20" "45" "LASSO" 1e-04
"time.sys.child" "14" "20" "45" "LASSO" 1e-04
"cv.iters" "14" "20" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "20" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "20" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "20" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "20" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "20" "45" "LASSO" 1e-04
"n.cv.par" "14" "20" "45" "LASSO" 1e-04
"lambda" "14" "1" "75" "LASSO" 0.0492434381749802
"lambdar0" "14" "1" "75" "LASSO" 0.95
"kappa" "14" "1" "75" "LASSO" 0
"condnum" "14" "1" "75" "LASSO" 2.54533793602644
"EL" "14" "1" "75" "LASSO" 57.9363271983971
"RMSE" "14" "1" "75" "LASSO" 0.0143665532929973
"F1" "14" "1" "75" "LASSO" 0.0067001675041876
"eTPR" "14" "1" "75" "LASSO" 0.00336134453781513
"eTNR" "14" "1" "75" "LASSO" 1
"ePPV" "14" "1" "75" "LASSO" 1
"d" "14" "1" "75" "LASSO" 0.00163265306122449
"iters" "14" "1" "75" "LASSO" 3
"time.user.self" "14" "1" "75" "LASSO" 0.0299999999999727
"time.sys.self" "14" "1" "75" "LASSO" 0
"time.elapsed" "14" "1" "75" "LASSO" 0.0199999999999818
"time.user.child" "14" "1" "75" "LASSO" NA
"time.sys.child" "14" "1" "75" "LASSO" NA
