"metric" "n_bands" "simulation" "p" "method" "value"
"F1" "10" "4" "25" "LASSO" 1
"eTPR" "10" "4" "25" "LASSO" 1
"eTNR" "10" "4" "25" "LASSO" 1
"ePPV" "10" "4" "25" "LASSO" 1
"d" "10" "4" "25" "LASSO" 0.65
"iters" "10" "4" "25" "LASSO" 13
"time.user.self" "10" "4" "25" "LASSO" 0.0199999999967986
"time.sys.self" "10" "4" "25" "LASSO" 0
"time.elapsed" "10" "4" "25" "LASSO" 0
"time.user.child" "10" "4" "25" "LASSO" NA
"time.sys.child" "10" "4" "25" "LASSO" NA
"cv.iters" "10" "4" "25" "LASSO" NA
"cv.time.user.self" "10" "4" "25" "LASSO" 0.00369999999980791
"cv.time.sys.self" "10" "4" "25" "LASSO" 0
"cv.time.elapsed" "10" "4" "25" "LASSO" 0.00369999999937136
"cv.time.user.child" "10" "4" "25" "LASSO" NA
"cv.time.sys.child" "10" "4" "25" "LASSO" NA
"cv.all.time.user.self" "10" "4" "25" "LASSO" 0.369999999980791
"cv.all.time.sys.self" "10" "4" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "4" "25" "LASSO" 0.369999999937136
"cv.all.time.user.child" "10" "4" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "4" "25" "LASSO" NA
"n.cv.par" "10" "4" "25" "LASSO" 20
"lambda" "3" "5" "25" "LASSO" 0
"lambdar0" "3" "5" "25" "LASSO" 0
"kappa" "3" "5" "25" "LASSO" 0
"condnum" "3" "5" "25" "LASSO" 26.2251083904316
"EL" "3" "5" "25" "LASSO" 0.0533703381701933
"RMSE" "3" "5" "25" "LASSO" 0.00226147065206471
"F1" "3" "5" "25" "LASSO" 1
"eTPR" "3" "5" "25" "LASSO" 1
"eTNR" "3" "5" "25" "LASSO" 1
"ePPV" "3" "5" "25" "LASSO" 1
"d" "3" "5" "25" "LASSO" 0.23
"iters" "3" "5" "25" "LASSO" 11
"time.user.self" "3" "5" "25" "LASSO" 0
"time.sys.self" "3" "5" "25" "LASSO" 0
"time.elapsed" "3" "5" "25" "LASSO" 0
"time.user.child" "3" "5" "25" "LASSO" NA
"time.sys.child" "3" "5" "25" "LASSO" NA
"cv.iters" "3" "5" "25" "LASSO" NA
"cv.time.user.self" "3" "5" "25" "LASSO" 0.00150000000000091
