"metric" "n_bands" "simulation" "n" "method" "value"
"EL" "C" "A1" "A" "MLE" 1e-04
"RMSE" "C" "A1" "A" "MLE" 1e-04
"kappa" "A" "B1" "A" "MLE" 1e-04
"condnum" "A" "B1" "A" "MLE" 1e-04
"EL" "A" "B1" "A" "MLE" 1e-04
"RMSE" "A" "B1" "A" "MLE" 1e-04
"kappa" "B" "B1" "A" "MLE" 1e-04
"condnum" "B" "B1" "A" "MLE" 1e-04
"EL" "B" "B1" "A" "MLE" 1e-04
"RMSE" "B" "B1" "A" "MLE" 1e-04
"kappa" "C" "B1" "A" "MLE" 1e-04
"condnum" "C" "B1" "A" "MLE" 1e-04
"EL" "C" "B1" "A" "MLE" 1e-04
"RMSE" "C" "B1" "A" "MLE" 1e-04
"kappa" "A" "C1" "A" "MLE" 1e-04
"condnum" "A" "C1" "A" "MLE" 1e-04
"EL" "A" "C1" "A" "MLE" 1e-04
"RMSE" "A" "C1" "A" "MLE" 1e-04
"kappa" "B" "C1" "A" "MLE" 1e-04
"condnum" "B" "C1" "A" "MLE" 1e-04
"EL" "B" "C1" "A" "MLE" 1e-04
"RMSE" "B" "C1" "A" "MLE" 1e-04
"kappa" "C" "C1" "A" "MLE" 1e-04
"condnum" "C" "C1" "A" "MLE" 1e-04
"EL" "C" "C1" "A" "MLE" 1e-04
"RMSE" "C" "C1" "A" "MLE" 1e-04
"kappa" "A" "D1" "A" "MLE" 1e-04
"condnum" "A" "D1" "A" "MLE" 1e-04
"EL" "A" "D1" "A" "MLE" 1e-04
"RMSE" "A" "D1" "A" "MLE" 1e-04
"kappa" "B" "D1" "A" "MLE" 1e-04
"condnum" "B" "D1" "A" "MLE" 1e-04
"EL" "B" "D1" "A" "MLE" 1e-04
"RMSE" "B" "D1" "A" "MLE" 1e-04
"kappa" "C" "D1" "A" "MLE" 1e-04
"condnum" "C" "D1" "A" "MLE" 1e-04
"EL" "C" "D1" "A" "MLE" 1e-04
"RMSE" "C" "D1" "A" "MLE" 1e-04
"kappa" "A" "A" "B" "MLE" 0
"condnum" "A" "A" "B" "MLE" 73.41373141017
"EL" "A" "A" "B" "MLE" 1.30681794764988
"RMSE" "A" "A" "B" "MLE" 0.00109233196530466
"kappa" "B" "A" "B" "MLE" 0
"condnum" "B" "A" "B" "MLE" 97.516647034462
"EL" "B" "A" "B" "MLE" 6.31192002700642
"RMSE" "B" "A" "B" "MLE" 0.00812585962478442
"kappa" "C" "A" "B" "MLE" 0
"condnum" "C" "A" "B" "MLE" 257.383145076643
"EL" "C" "A" "B" "MLE" 14.6147093452351
"RMSE" "C" "A" "B" "MLE" 0.0153292341823236
"kappa" "A" "B" "B" "MLE" 0
"condnum" "A" "B" "B" "MLE" 65.141084671455
"EL" "A" "B" "B" "MLE" 1.13971693632162
"RMSE" "A" "B" "B" "MLE" 0.000994359504912054
"kappa" "B" "B" "B" "MLE" 0
"condnum" "B" "B" "B" "MLE" 116.695103313217
"EL" "B" "B" "B" "MLE" 6.61352289805926
"RMSE" "B" "B" "B" "MLE" 0.00855321034189304
"kappa" "C" "B" "B" "MLE" 0
"condnum" "C" "B" "B" "MLE" 441.284021119779
"EL" "C" "B" "B" "MLE" 14.4299823076535
"RMSE" "C" "B" "B" "MLE" 0.015815233967066
"kappa" "A" "C" "B" "MLE" 0
"condnum" "A" "C" "B" "MLE" 83.2611808298151
"EL" "A" "C" "B" "MLE" 1.60907407406533
"RMSE" "A" "C" "B" "MLE" 0.00126887016324351
"kappa" "B" "C" "B" "MLE" 0
"condnum" "B" "C" "B" "MLE" 149.900334733501
"EL" "B" "C" "B" "MLE" 6.04685755203345
"RMSE" "B" "C" "B" "MLE" 0.00840554817943162
"kappa" "C" "C" "B" "MLE" 0
"condnum" "C" "C" "B" "MLE" 476.133469459247
"EL" "C" "C" "B" "MLE" 14.5631049768299
